course_name,prerequisites,corequisites
ARO 4510 - Model-Based Systems Architecture (3),"ARO Majors, and C or better in ARO 201L or ARO 2011L .",
STA 1200 - Statistics with Applications (3),"Category I, Category II, ALEKS >=46, SAT >=570, ACT >=23, C or better in a GE Sub-area B4 course, or C- or better or CR in MAT 1051 .",
MAT 1050 - College Algebra (3),"Category I, Category II, Category III, ALEKS >=46, or completion of GE Sub-area B4.",MAT 1050A (only if Category III).
ANT 4900L - Methods in Anthropology Laboratory (1),ANT 1020 or ANT 1120 ; Upper Division standing; and GE Area D1/D2 or Instructor consent.,ANT 4900 .
RS 1110 - Introduction to Regenerative Studies (3),,
"PHY 1220L - Electromagnetism, Circuits, and Light Laboratory (1)",,PHY 1220 .
CHM 2010L - Elements of Organic Chemistry Laboratory (1),CHM 123 or CHM 1220 ; and CHM 123L or CHM 1220L ; or concurrent enrollment in CHM 2010 .,
AMM 4970L - Fashion Retail Simulation Laboratory (3),"AMM Fashion Retail major, senior standing, and AMM 350 or AMM 3500 .",
"PHY 1220 - Physics of Electromagnetism, Circuits, and Light (3)","C- or better in PHY 122, PHY 122B, PHY 1210 , or PHY 1210B.",PHY 1220L .
CHM 3140L - Organic Chemistry Laboratory I (1),C- or better in CHM 3140 or CHM 315; CHM 3140 can be concurrent.,
AMM 4960 - International Fashion Retailing (3),Senior Fashion Retail Standing.,
AMM 4710 - Apparel Wholesale Operations (3),Senior Standing; and AMM 350 or AMM 3500 .,
AMM 3920 - Fashion Operations Management (3),AMM 381 or AMM 3810 ; and AMM 381L or AMM 3810L .,
AMM 4680 - Innovative Textiles (2),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4680L .
AMM 4600 - Textile Coloration (2),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4600L .
AMM 4680L - Innovative Textiles Laboratory (1),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4680 .
ARC 4990 - Special Topics for Upper Division Students (1-3),,
ARC 1501A - Foundation Digital Design 1 Activity (1),ARC undergraduate standing.,ARC 1011A and ARC 1011 .
ARC 4990L - Special Topics for Upper Division Students Laboratory (1-3),,
AMM 4600L - Textile Coloration Laboratory (1),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4600 .
BIO 3000 - Genetics and Human Issues (3),Junior or Senior Standing; and Lower division GE requirements in Areas A and B.,
ARC 4990A - Special Topics for Upper Division Students Activity (1-3),,
ARC 4890 - Integrated Project Delivery for Healthcare Facility Design (3),"ARC Graduate Standing or Advanced Standing, Instructor Permission, and ARC 303L or ARC 3021L .",
BIO 3010 - Human Sexuality (3),Junior or senior standing; and Lower division GE requirements in Areas A and B.,
STA 1300 - Biostatistics (3),"Category I, Category II, MDPT >=14, ALEKS >=46, SAT >=570, ACT >=23, C or better in a GE Sub-area B4 course, or C- or better or CR in MAT 1051 .",
PLS 4430 - European Governments and Politics (3),,
"HST 3326 - Europe in Crisis, 1900-1945 (3)","Completion of GE Area A, and junior or senior standing.",
BIO 4850L - Mammalogy Laboratory (1),Junior standing and any 2000-level BIO course.,BIO 4850 .
PHL 3160 - 19th Century Philosophy (3),,
BIO 4850 - Mammalogy (3),Junior standing and any 2000-level BIO course.,BIO 4850L .
"HST 3324 - European Revolutions, 1789-1914 (3)","Lower division GE requirements in Areas A and D, and sub-area B4.",
"HST 3327 - Postwar Europe, 1945-present (3)","Completion of GE Area A, and junior or senior standing.",
GER 3410 - German Civilization (3),"FL 211, FL 212, FL 213, GER 2111 , or GER 2113 or equivalent.",
GER 4990 - Special Topics for Upper Division Students (1-3),,
GEO 3590 - Europe: Land and People (3),GE area A.,
GER 2990 - Special Topics for Lower Division Students (1-3),,
PLT 3030 - Pesticide Laws and Regulations (2),,
GER 2120 - Intermediate German Reading and Film (3),"Instructor consent, FL 211, FL 212, FL 213, GER 2111 , or GER 2113 or equivalent.",
GER 2111 - Intermediate German I (3),"Instructor consent, FL 112, GER 1112 , or equivalent.",
GER 2113 - Intermediate German Composition and Conversation (3),"Instructor consent, FL 112, GER 1112 , or equivalent.",
PHL 3330 - Bioethics (3),"Lower division GE requirements in Area A, at least two sub-areas in Area B, and at least two sub-areas in Area C.",
MHR 3020 - Organizational Behavior (3),"Upper division standing; and Lower division GE requirements in Areas A and D, and sub-area B4.",
MHR 3010 - Principles of Management (3),Sophomore standing and completion of GE Area A2.,
TOM 3010 - Operations Management (3),"STA 120, STA 1200 , or STA 1202 .",
IBM 3012 - Principles of Marketing Management (3),Completion of GE Area A2.,
MHR 3410 - Introduction to Entrepreneurship (3),Junior standing or consent of instructor.,
MHR 4220 - Training and Development (3),"MHR 3210 , HRT 3500 , MHR 311 or HRT 350; and Upper Division standing.",
BIO 5760 - Regulatory Affairs for the Biotechnology Industry (3),Senior or graduate student in good standing.,
CIS 3100 - Management Information Systems (3),"ACC 207 and 207A or ACC 2070 ; and CIS 101, CIS 1010 , or PCPT.",
GEO 4130 - Environmental Law (3),"GEO 1010 , GEO 1020 or Instructor consent.",
PLT 4210 - Production Mycology (2),,PLT 4210L .
PLT 4310L - Soil Chemistry Laboratory (1),PLT 231 or PLT 2310 ; and PLT 231L or PLT 2310L .,PLT 4310 .
PLT 4310 - Soil Chemistry (2),PLT 231 or PLT 2310 ; and PLT 231L or PLT 2310L .,PLT 4310L .
PLT 4220L - Specialized Plant Propagation Laboratory (1),BOT 428 or BIO 4480 ; and BOT 428L or BIO 4480L .,PLT 4220 .
PLT 4210L - Production Mycology Laboratory (1),,PLT 4210 .
PLT 4220 - Specialized Plant Propagation (2),BOT 428 or BIO 4480 ; and BOT 428L or BIO 4480L .,PLT 4220L .
PLT 4190L - Plant Pathology Laboratory (1),BOT 201 or BIO 2050 ; and BOT 201L or BIO 2050L .,PLT 4190 .
PLT 4110 - Environmental Toxicology (3),PLT 231 or PLT 2310 ; and PLT 231L or PLT 2310L .,
PLT 4190 - Plant Pathology (2),BOT 201 or BIO 2050 ; and BOT 201L or BIO 2050L .,PLT 4190L .
PLT 4040L - Plant Breeding Laboratory (1),BIO 115 or BIO 1150 ; and PLT 115L or BIO 1150L .,PLT 4040 .
NTR 4370 - Nutritional Genomics (3),"NTR 3930 , FN 433, or consent of instructor.",
NTR 3940 - Advanced Nutrient Metabolism II (3),C or better in NTR 3930 or FN 433.,
PLT 4040 - Plant Breeding (2),BIO 115 or BIO 1150 ; and BIO 115L or BIO 1150L .,PLT 4040L .
FST 4280L - Food Analysis Laboratory (1),C- or better in FST 4261 or FST 420 and FST 4261L or FST 420L.,FST 4280 .
FST 4280 - Food Analysis (3),C or better in FST 4261 or FST 421 and FST 4261L or FST 420L.,FST 4280L .
NTR 3930 - Advanced Nutrient Metabolism I (3),"B- or better in the following: NTR 3130 or FN 263, and NTR 3350 or FN 335.",CHM 3210.
FST 4261 - Food Chemistry (3),"C- or better in the following: FST 2250 / FST 2250A , or FST 1250 or FST 125 in curriculum year 20-21 and prior; CHM 2010 , CHM 3150 , CHM 201, or CHM 316; and CHM 2010L , CHM 3150L , CHM 250L, or CHM 317L.",FST 4261L .
"ECE 4735 - Biomedical Signals, Instrumentation and Measurements (3)",ECE Major; and ECE 3101 or ECE 306.,
CHM 4490 - Environmental Analysis (2),C- or better in CHM 2210 and CHM 2210L .,CHM 4490L .
FST 4261L - Food Chemistry Laboratory (1),"C- or better in the following: FST 2250 / FST 2250A , or FST 1250 or FST 125 in curriculum year 20-21 and prior; CHM 2010 , CHM 3150 , CHM 201, or CHM 316; and CHM 2010L , CHM 3150L , CHM 250L, or CHM 317L.",FST 4261 .
CHM 4490L - Environmental Analysis Laboratory (1),C- or better in CHM 2210 and CHM 2210L .,CHM 4490 .
CHM 4590 - Green Chemistry (3),C- or better in CHM 316 or CHM 3150 ; and C- or better in CHM 319L or CHM 3150L .,
FST 3321L - Food Process Engineering Laboratory (1),"C- or better in the following: CHM 1220 or CHM 123; CHM 1220L or CHM 123L; PHY 1210 or PHY 121; PHY 1210L * or PHY 121L; MAT 1200 or MAT 120; and FST 2250 and FST 2250A , or FST 1250 or FST 125 in curriculum year 20-21 and prior.",FST 3321 .
FST 3321 - Food Process Engineering (3),"C- or better in the following: CHM 1220 or CHM 123; CHM 1220L or CHM 123L; PHY 1210 or PHY 121; PHY 1210L or PHY 121L; MAT 1200 or MAT 120; and FST 2250 and FST 2250A , or FST 1250 or FST 125 in curriculum year 20-21 and prior.",FST 3321L .
CHM 4540 - Advanced Metabolism (3),C- or better in CHM 328 or CHM 3280 .,
CHM 4520 - Advanced Biomolecular Structure (3),C- or better in CHM 328 or CHM 3280 ; and C- or better in CHM 328L or CHM 3280L .,
CHM 4510 - Enzymology (3),C- or better in CHM 328 or CHM 3280 ; and C- or better in CHM 328L or CHM 3280L .,CHM 4510L .
CHM 4510L - Enzymology Laboratory (1),C- or better in CHM 328 or CHM 3280 ; and C- or better in CHM 328L or CHM 3280L .,CHM 4510 .
CHM 4480 - Modern Mass Spectrometry and FT-NMR (3),C- or better in CHM 342 or CHM 3420 ; C- or better in CHM 316 or CHM 3150 and C- or better in CHM 319L or CHM 3150L .,
CHM 4500L - Bioanalytical Chemistry Laboratory (1),C- or better in CHM 327 or CHM 3270 ; C- or better in CHM 327L or CHM 3270L ; C- or better in CHM 221 or CHM 2210 ; and C- or better in CHM 221L or CHM 2210L .,CHM 4500 .
CHM 4240 - Organic Analysis (2),C- or better in CHM 316 or CHM 3150 ; and C- or better in CHM 319L or CHM 3150L .,
CHM 4500 - Bioanalytical Chemistry (3),C- or better in CHM 327 or CHM 3270 ; C- or better in CHM 327L or CHM 3270L ; C- or better in CHM 221 or CHM 2210 ; and C- or better in CHM 221L or CHM 2210L .,
CHM 4220L - Organic Synthesis Laboratory (2),"C- or better in CHM 316 or CHM 3150 , C- or better in CHM 319L or CHM 3150L , D or better in CHM 221 or CHM 2210 , and D or better in CHM 221L or CHM 2210L .",CHM 4220 .
CHM 4160 - Macromolecular Modeling (3),"CHM 2600 ; and CHM 327, CHM 3270 , CHM 321 or CHM 3210 .",
CHM 4240L - Organic Analysis Laboratory (2),C- or better in CHM 316 or CHM 3150 ; and C- or better in CHM 319L or CHM 3150L .,CHM 4240 .
CHM 4090 - Polymer Chemistry (2),C- or better in CHM 316 or CHM 3150 ; and C- or better in CHM 319L or CHM 3150L .,
CHM 4220 - Organic Synthesis (2),"C- or better in CHM 316 or CHM 3150 , C- or better in CHM 319L or CHM 3150L , D or better in CHM 221 or CHM 2210 , and D or better in CHM 221L or CHM 2210L .",
